text,label,style
goes up to my knee,"Compression Stockings, knee length (15-19 mmhg)",partial_turn2
"ordering prescription contacts for my teenage son, his optometrist fitted him for them",Prescription Contacts,parent_or_dependent
"not off the shelf, fitted specifically for me","Compression Stockings, custom, any length",partial_turn2
diabetes supplies | sensor patches | replace them every 10 days,Glucose Monitoring System Supplies/Sensors,progressive
I bought a commode chair that has wheels so you can roll it around,Wheeled Commode (purchase),confused_student
milk pump for my baby,Breast Pump (purchase),partial_turn2
Which category for a peak flow meter to monitor my asthma?,Peak Flow Meter,question
bath safety seat,Bath Bench/Chair (purchase),partial_turn2
skin allergy test,Scratch Test for Allergies,vague_turn1
25-hydroxyvitamin D blood test ordered by my doctor,Vitamin D Test,natural_diverse
I slept overnight at a clinic wired up to machines that monitored my breathing and stuff,Sleep Study,confused_student
emergency ambulance fee,Ambulance,partial_turn2
"there's left knee and right knee custom options which is weirdly specific, anyway mine is the left one","Brace, left knee (Custom)",complaint
"my asthma doctor say I should check breathing at home, I buy the tube I blow in",Peak Flow Meter,esl_speaker
compression socks under 14mmhg,"Compression Stockings, any length (up to 14 mmhg)",terse
heat pack | reusable | for my arthritis pain,Heat Therapy - Re-usable items (purchase),progressive
other foot service,Other foot care services (i.e. orthopedic shoe modification),vague_turn1
"acupuncture sessions not massage, the needles treatment for my pain",Acupuncture,natural_diverse
"Submitting for a four-wheeled rollator with hand brakes, padded seat, and storage basket for ambulatory mobility assistance",Walker - with wheels (purchase),detailed_clinical
therapy | registered psychotherapist | RP credentials,Psychotherapist,progressive
"Which category for a forearm crutch with an arm cuff, not the standard underarm kind?",Forearm Crutch (purchase),question
my daughter fell off the monkey bars so we went for an x-ray to check if anything is broken,X-Ray,parent_or_dependent
the little device with sticky pads that sends electric pulses to my back,"Stimulator, muscle/nerve (TENS)",natural_diverse
"replacing my child's CGM transmitter unit, it's the piece that sends data to the receiver",Glucose Monitoring System Transmitter,parent_or_dependent
"I wear contact lenses instead of glasses, they're prescription",Prescription Contacts,confused_student
accessories not the main device,"CPAP, APAP, BIPAP Supplies",partial_turn2
got charged a fee just for getting blood drawn at the lab,Blood Withdrawal Fee,natural_diverse
I use a CGM sensor on my arm but instead of using my phone I bought the dedicated handheld receiver to see my glucose readings,Glucose Monitoring System Receiver,storyteller
"had the leg brace custom made, goes from foot to knee for drop foot","Brace, AFO/KAFO (Custom)",natural_diverse
hair piece,Wig,vague_turn1
"libre sensor supplies, keep running out, expensive every month",Glucose Monitoring System Supplies/Sensors,natural_diverse
SLP not just consultation,Speech Therapy,partial_turn2
the pump | delivers insulin continuously | not the pen or gun,Insulin infusion pump,progressive
"make sure I'm in the right spot this time - it's a walker WITH wheels, the rolling kind",Walker - with wheels (purchase),complaint
diagnostic eye | scanned my retina | beyond normal checkup,Diagnostic Vision Test,progressive
"got sunglasses with my prescription, are these covered",Other vision services (i.e. safety glasses),natural_diverse
"other vision service, special lens coating prescribed for light sensitivity",Other vision services (i.e. safety glasses),natural_diverse
nursing home monthly fees for my parent with dementia,Nursing Home and Long Term Care,natural_diverse
"the main device, it blows air","CPAP, APAP, BIPAP Machine",partial_turn2
toilet frame | not a raised seat | the surrounding frame,Versa Frame (purchase),progressive
"regular crutches, the normal kind under the arms, a PAIR - why is forearm crutch listed separately?","Crutches, pair",complaint
Where do I file for ostomy pouches and related supplies?,Ostomy,question
I bought a gel thing you freeze and put on your sore muscles,Cold Therapy - Re-usable Items (purchase),confused_student
portable IV pole purchased for home IV antibiotics treatment,IV Stand (purchase),natural_diverse
registered RP,Psychotherapist,partial_turn2
glucose sensors,Glucose Monitoring System Supplies/Sensors,vague_turn1
How do I submit a pre-authorization request for an upcoming medical service?,Estimate/Pre-Authorization,question
submitting for medical cannabis i use for my chronic pain condition,Medical Cannabis,natural_diverse
clinical counsellor sessions,Clinical Counsellor,terse
dental appointment,Dental Services,vague_turn1
ordered Jobst Elvarex thigh-high 34-46 mmHg flat-knit from my lymphedema clinic,"Compression Stockings, thigh/full (30 mmhg & over)",brand_specific
mild compression | doctor said the lightest level is fine,"Compression Stockings, any length (up to 14 mmhg)",progressive
"open toe, just the calf area","Compression Calf Sleeves/Tights (footless), any length",partial_turn2
"new eyeglasses after my prescription changed, bifocal lenses",Prescription Glasses,natural_diverse
"picked left knee by accident last time, it's actually my RIGHT knee custom brace, had to resubmit","Brace, right knee (Custom)",complaint
I bought one of those bottle things for going to the bathroom when you're stuck in bed,Urinal (purchase),confused_student
24hr blood pressure monitoring test,Ambulatory Blood Pressure Test,terse
annual eye exam,Eye Exam,terse
massage therapy | therapeutic | registered RMT,Massage,progressive
cancer blood test,CA-125 (Cancer Antigen) Test,vague_turn1
"my social worker has a masters degree, she does therapy type sessions",Social Worker (Masters level),natural_diverse
physio session,Physiotherapy,vague_turn1
ostomy pouching system,Ostomy,partial_turn2
counselling,Other mental health services,vague_turn1
I bought a metal pole with hooks to hang IV bags at home,IV Stand (purchase),confused_student
"therapist | registered psychologist, doctorate level",Psychologist,progressive
prescription drug,Drug,partial_turn2
continuous glucose | transmitter stopped | it clips onto the sensor,Glucose Monitoring System Transmitter,progressive
nursing home long term care,Nursing Home and Long Term Care,terse
the tight socks doctor said to get,"Compression Stockings, knee length (20-29 mmhg)",vague_turn1
wheelchair | transport kind | someone pushes it | for my mom,Transport Wheelchair,progressive
submitting dental estimate for my crown work before it happens,Dental Estimate for Services,natural_diverse
psychology session | not just counselling | registered psychologist,Psychologist,progressive
"nerve stimulator device, the one with the wires and sticky pads, for pain","Stimulator, muscle/nerve (TENS)",natural_diverse
"thigh high, firm compression","Compression Stockings, thigh/full (20-29 mmhg)",partial_turn2
"picked up some foot inserts from shoppers, the non-custom kind",Standard foot orthotics or shoe inserts,natural_diverse
nursing home,Nursing Home and Long Term Care,vague_turn1
I got a little tube thing I blow into to check my lung function at home,Peak Flow Meter,confused_student
occupational therapy | not physio | adapting my home,Occupational Therapy,progressive
"dental scaling and root planing, periodontal treatment",Dental Services,natural_diverse
the ones that go up high,"Compression Stockings, thigh/full (15-19 mmhg)",vague_turn1
How do I claim medical cannabis that was prescribed by my doctor?,Medical Cannabis,question
"blood work done for allergies, the specific allergy antibodies tests not skin prick",Blood test for Allergies (IG test not eligible),natural_diverse
claiming pump supplies for my daughter's insulin pump monthly,Insulin infusion pump supplies,natural_diverse
overnight sleep study test,Sleep Study,terse
claiming expressive art therapy for my daughter's trauma treatment,Other mental health services,natural_diverse
the bars in the shower,Grab Bar/Bath Bar - permanent fixtures (purchase),vague_turn1
made specially for my foot problem,Orthopaedic or custom made shoes,partial_turn2
"seeing a psych for cognitive testing and therapy, registered doctorate level",Psychologist,natural_diverse
raised toilet seat,Raised Toilet seat (purchase),vague_turn1
breast screening,Mammogram,vague_turn1
What's the right category for store-bought shoe inserts that aren't custom-made?,Standard foot orthotics or shoe inserts,question
had the scratch test done on my back for allergy testing,Scratch Test for Allergies,natural_diverse
OT,Occupational Therapy,vague_turn1
submitting for naturopathy visits and treatments,Naturopathic Treatment,natural_diverse
foot care | trimming nails and treating calluses | not the medical kind,Chiropody (Foot Care) Treatment,progressive
my leg socks,"Compression Calf Sleeves/Tights (footless), any length",vague_turn1
I bought a medical device but I can't find it in any of the specific categories,Other medical items,confused_student
Filing for a dedicated receiver unit for a continuous glucose monitoring system to display interstitial glucose readings,Glucose Monitoring System Receiver,detailed_clinical
bought a urinal bottle for my bedridden husband,Urinal (purchase),natural_diverse
depends and underpads,Incontinence Supplies,partial_turn2
compression for my knee,"Compression Stockings, knee length (20-29 mmhg)",vague_turn1
province paid first | submitting balance | top up coordination,Provincial Replacement Plan,progressive
CA 125 blood work for monitoring my condition,CA-125 (Cancer Antigen) Test,natural_diverse
"novo nordisk insulin pen, the reusable device for my daily insulin",Insulin Pen Injector,natural_diverse
What category for an overnight sleep study test?,Sleep Study,question
TENS machine | the device with sticky electrode pads,"Stimulator, muscle/nerve (TENS)",progressive
"my daughter sees a social worker with a BSW for her anxiety, need to claim the sessions",Social Worker (Bachelors),parent_or_dependent
home care worker comes to help my elderly mother with daily tasks,In Home Support Services,natural_diverse
"these are SUPPLIES for my TENS machine, not the machine itself - just electrode pads and new lead wires","Stimulator, supplies",complaint
purchased a Drive Medical Fly-Lite transport wheelchair from Amazon,Transport Wheelchair,brand_specific
"cpap stuff | filters and tubing, monthly replacement","CPAP, APAP, BIPAP Supplies",progressive
bought a MedicAlert bracelet for my son who has a severe peanut allergy,Medic Alert Bracelet,parent_or_dependent
claiming my father's PSA test from his annual prostate screening,PSA Test (Prostate Specific Antigen),parent_or_dependent
ear protection,Ear Plugs (custom made),vague_turn1
I got that metal frame thing that goes around the toilet to help me stand up,Versa Frame (purchase),confused_student
"electric breast pump, going back to work",Breast Pump (purchase),partial_turn2
submitting for medical supply my doctor prescribed but no category,Other medical items,natural_diverse
"I need protective glasses for my job in the lab, with my prescription in them",Safety Glasses,confused_student
bought a pair of Stander EZ Adjust bed rails for my father's bed,Bed Rails (purchase),brand_specific
the patches for my arm,Glucose Monitoring System Supplies/Sensors,vague_turn1
heating pad hot therapy reusable,Heat Therapy - Re-usable items (purchase),natural_diverse
infusion set,Insulin infusion pump supplies,vague_turn1
sleep mask thing,"CPAP, APAP, BIPAP Mask",vague_turn1
COLONOSCOPY the scope procedure not just a prep or blood test,Colonoscopy,natural_diverse
"not glasses or exam, something else",Other vision services (i.e. safety glasses),partial_turn2
eye thing | vision therapy sessions | not glasses or exam,Other vision services (i.e. safety glasses),progressive
Submitting for a single ergonomic forearm crutch with adjustable cuff and contoured handgrip,Forearm Crutch (purchase),detailed_clinical
"masters degree, does clinical work",Social Worker (Masters level),partial_turn2
eye doctor visit,Eye Exam,vague_turn1
osteopath doing manual therapy on my spine and pelvis,Osteopath,natural_diverse
doctor told my husband to wear the calf sleeve things for his circulation,"Compression Calf Sleeves/Tights (footless), any length",natural_diverse
special eye test,Diagnostic Vision Test,vague_turn1
Where do I file for lancets used with my glucose meter?,Lancet,question
submitting my child's custom KAFO brace that was made for his leg condition,"Brace, AFO/KAFO (Custom)",parent_or_dependent
"the SENSORS not the receiver, the circular patches that stick to your skin",Glucose Monitoring System Supplies/Sensors,natural_diverse
"my vision service doesn't fit ANY of the specific categories - it's vision therapy, not an exam or glasses or contacts",Other vision services (i.e. safety glasses),complaint
support socks,"Compression Stockings, any length (up to 14 mmhg)",vague_turn1
CBT app,Digital Cognitive Behavioural Therapy,vague_turn1
phlebotomy draw fee,Blood Withdrawal Fee,terse
filing a claim for my dad's thigh-length 25 mmhg stockings post his bypass surgery,"Compression Stockings, thigh/full (20-29 mmhg)",parent_or_dependent
purchased a Hugo Adjustable quad cane from Medichair,Quad Cane (purchase),brand_specific
medical wig | prescribed | after my cancer treatment,Wig,progressive
purchased a NovoPen 6 reusable insulin pen injector from my pharmacy,Insulin Pen Injector,brand_specific
"these are the long ones that go way up past my knee to my upper leg, 25 mmhg","Compression Stockings, thigh/full (20-29 mmhg)",confused_student
"the SPACER for my inhaler, aerochamber brand, helps get more medicine in",Aerochamber,natural_diverse
mental health | doesn't fit the regular categories | community counsellor,Other mental health services,progressive
"bought a new blood glucose device at shoppers, the hand held one",Blood glucose meter,natural_diverse
What category for a bra designed to be worn after a mastectomy?,Mastectomy bra,question
My doctor recommended I try a digital CBT program since the waitlist for in-person therapy was six months long,Digital Cognitive Behavioural Therapy,storyteller
"knee length, medium firm","Compression Stockings, knee length (15-19 mmhg)",partial_turn2
chipped tooth,Dental Accident,vague_turn1
"RIGHT knee brace, the custom kind not store bought, measured by orthotist","Brace, right knee (Custom)",natural_diverse
custom left knee brace claim,"Brace, left knee (Custom)",terse
"hearing aid purchase, was fitted at the hearing clinic",Hearing Aids,natural_diverse
"allergy blood panel allergy testing, blood drawn to check for specific allergy antibodies levels",Blood test for Allergies (IG test not eligible),natural_diverse
My son was having trouble reading because his eyes don't track together well so we started vision therapy sessions with an optometrist,Other vision services (i.e. safety glasses),storyteller
cane | single point | for my balance after stroke,"Cane, standard",progressive
"I get hit in mouth during basketball game and tooth break, accident not regular dental",Dental Accident,esl_speaker
shower chair,Bath Bench/Chair (purchase),vague_turn1
Which option for a walker that doesn't have any wheels?,Walker - non wheeled (purchase),question
"not automatic, I trigger it",Insulin Gun (manual),partial_turn2
"long and firm, hard to put on","Compression Stockings, thigh/full (20-29 mmhg)",partial_turn2
"intravenous stand for home infusion, where to claim this",IV Stand (purchase),natural_diverse
my grandmother is bedridden after surgery and we needed to buy a bedpan,Bedpan,parent_or_dependent
"Claiming a comprehensive optometric examination including refraction, tonometry, and fundoscopy",Eye Exam,detailed_clinical
ordered a year supply of Acuvue Oasys daily contacts from Clearly.ca,Prescription Contacts,brand_specific
I have severe bunions and regular shoes don't fit so my podiatrist ordered custom orthopedic shoes built specifically for my feet,Orthopaedic or custom made shoes,storyteller
gel pack I keep in the freezer,Cold Therapy - Re-usable Items (purchase),partial_turn2
Where do I claim orthodontic records like x-rays and impressions?,Other Orthodontic/Dental Services (i.e. orthodontic records),question
continuous glucose monitor sensors and supplies,Glucose Monitoring System Supplies/Sensors,natural_diverse
"my father has diabetic neuropathy and needs custom orthopedic shoes, submitting the claim for him",Orthopaedic or custom made shoes,parent_or_dependent
I filed under 'Other medical items' but it's actually a TENS machine for nerve stimulation,"Stimulator, muscle/nerve (TENS)",wrong_guess
lancets not the meter or strips,Lancet,partial_turn2
prostate test | blood drawn | annual screening | urologist ordered,PSA Test (Prostate Specific Antigen),progressive
"the hose and filter, monthly replacement","CPAP, APAP, BIPAP Supplies",partial_turn2
the pen for insulin,Insulin Pen Injector,vague_turn1
checkup not getting glasses,Eye Exam,partial_turn2
other eye service | not regular exam | therapy for my eye condition,Other vision services (i.e. safety glasses),progressive
What category for a brace I bought off the shelf at the pharmacy?,Brace (Non-custom),question
hospital stay provincial claim,Hospital (within your province),terse
"TABLE TOP vaporizer not a whole house humidifier, the small steam one",Vaporizer (table top),natural_diverse
"my counsellor is a registered clinical counsellor, counsellor designation",Clinical Counsellor,natural_diverse
"walker frame no wheels, for stability after surgery, where to claim",Walker - non wheeled (purchase),natural_diverse
social work sessions,Social Worker (Bachelors),vague_turn1
blood test for ovarian cancer marker,CA-125 (Cancer Antigen) Test,partial_turn2
PSW comes to help at home,In Home Support Services,partial_turn2
pre-braces stuff,Other Orthodontic/Dental Services (i.e. orthodontic records),vague_turn1
"I use alcohol pad before injection every day for diabetes, I buy many box",Alcohol swabs,esl_speaker
sleep apnea accessories | the hose and filters | not the machine,"CPAP, APAP, BIPAP Supplies",progressive
purchased an Inject-Ease automatic insulin injection aid from Diabetes Express,Insulin Gun (automatic),brand_specific
medical foot treatment,Podiatry Treatment,vague_turn1
took my daughter for her annual eye exam at the optometrist,Eye Exam,parent_or_dependent
"muscle stimulator with electrode pads, TENS type for pain relief","Stimulator, muscle/nerve (TENS)",natural_diverse
"physio recommended an off the shelf ankle brace, got it at sport chek",Brace (Non-custom),natural_diverse
tuberculosis test | mantoux | employer required it,TB Test/Mantoux,progressive
I got varicose veins during pregnancy and my OB told me to get thigh-high stockings at about 15 mmhg for the swelling,"Compression Stockings, thigh/full (15-19 mmhg)",storyteller
"I picked 'Social Worker Bachelors' but she actually has an MSW, is there a difference in coverage?",Social Worker (Masters level),wrong_guess
"THIGH length not knee, and they're the firm ones 20 to 29 range","Compression Stockings, thigh/full (20-29 mmhg)",natural_diverse
signed my daughter up for a digital CBT app to help her manage school-related anxiety,Digital Cognitive Behavioural Therapy,parent_or_dependent
standard cane purchase walking,"Cane, standard",natural_diverse
installed a versa frame around the toilet for my elderly mother's bathroom safety,Versa Frame (purchase),parent_or_dependent
"clinical social worker with masters degree, is this under mental health",Social Worker (Masters level),natural_diverse
"got the elbow crutch with the metal arm cuff, more permanent type",Forearm Crutch (purchase),natural_diverse
the hard plastic leg thing,"Brace, AFO/KAFO (Custom)",vague_turn1
"colostomy pouching system supplies, skin barriers and bags",Ostomy,natural_diverse
genetic screening,Screening (for DNA/Genetic purposes),vague_turn1
"thigh high stokings over 30 pressure, prescribed after clot in leg","Compression Stockings, thigh/full (30 mmhg & over)",natural_diverse
this one HAS wheels and brakes and a seat unlike the basic walker,Walker - with wheels (purchase),natural_diverse
OT | occupational therapist | daily living skills after my stroke,Occupational Therapy,progressive
naturopathic doctor,Naturopathic Treatment,vague_turn1
bought a Drive Medical folding steel bedside commode from Medichair,Stationary Commode (purchase),brand_specific
"I fell off my bike and knocked out my front tooth, is that different from regular dental?",Dental Accident,confused_student
"right knee, custom fitted","Brace, right knee (Custom)",partial_turn2
lab fee,Blood Withdrawal Fee,vague_turn1
pair of crutches post injury,"Crutches, pair",natural_diverse
homeopathic remedies and consultation,Homeopathic Treatment,partial_turn2
walking stick,"Cane, standard",vague_turn1
"I buy small needle for prick finger, for check sugar in blood, many in box",Lancet,esl_speaker
"rollator walker for my husband with parkinson's, the kind with brakes",Walker - with wheels (purchase),natural_diverse
home blood pressure monitor cuff,Blood pressure monitor,natural_diverse
"I buy simple cane for walking, one point on bottom, to help balance","Cane, standard",esl_speaker
I bought one of those pan things for using the bathroom in bed,Bedpan,confused_student
mammogram at the imaging centre,Mammogram,partial_turn2
purchasing a stationary commode for my grandmother's bedroom since she can't walk to the bathroom,Stationary Commode (purchase),parent_or_dependent
tabletop steam vaporizer,Vaporizer (table top),terse
speech therapy for my daughter's articulation issues,Speech Therapy,natural_diverse
"custom swim plugs for my ear condition, different from noise protection",Other hearing services,natural_diverse
My vascular surgeon referred me to a certified fitter who took molds of both legs and made compression stockings specifically for me,"Compression Stockings, custom, any length",storyteller
"bath safety seat, bought at shoppers home health care",Bath Bench/Chair (purchase),natural_diverse
bedpan purchase home care,Bedpan,natural_diverse
the device i blow into to check my lung function at home,Peak Flow Meter,natural_diverse
foot doctor thing,Chiropody (Foot Care) Treatment,vague_turn1
"my glucometer broke, need a new one, can i claim",Blood glucose meter,natural_diverse
registered psych,Psychologist,partial_turn2
buying a quad cane for my grandmother who needs extra stability,Quad Cane (purchase),parent_or_dependent
vaporizer | table top steam | for my respiratory condition,Vaporizer (table top),progressive
leg stockings from the specialist,"Compression Stockings, custom, any length",vague_turn1
other emergency services urgent care,Other emergency services,natural_diverse
"my social worker has a bachelor degree not a masters, does that matter",Social Worker (Bachelors),natural_diverse
"submitting for massage sessions, my registered massage therapist does it for my injury",Massage,natural_diverse
the examination fee only,Eye Exam,partial_turn2
the one I have to press manually,Insulin Gun (manual),partial_turn2
reusable heat pack purchase,Heat Therapy - Re-usable items (purchase),terse
"cpap consumables, filter and water chamber and the plastic tubing","CPAP, APAP, BIPAP Supplies",natural_diverse
"full thigh compression very firm 30 plus, prescribed for lymph fluid buildup","Compression Stockings, thigh/full (30 mmhg & over)",natural_diverse
eye scan,Diagnostic Vision Test,vague_turn1
permanently mounted to the wall,Grab Bar/Bath Bar - permanent fixtures (purchase),partial_turn2
shoe alteration,Other foot care services (i.e. orthopedic shoe modification),vague_turn1
psychotherapist RP sessions,Psychotherapist,natural_diverse
blood draw fee charged by the lab before running my blood work,Blood Withdrawal Fee,natural_diverse
"goes to my thigh, extremely tight","Compression Stockings, thigh/full (30 mmhg & over)",partial_turn2
social worker social worker with a bachelor's visit,Social Worker (Bachelors),natural_diverse
"prosthetic bra after my double mastectomy, medical purpose",Mastectomy bra,natural_diverse
PSA | blood test | prostate cancer monitoring,PSA Test (Prostate Specific Antigen),progressive
physical therapy | not massage | registered physiotherapist,Physiotherapy,progressive
Which category for purchasing prescription eyeglasses?,Prescription Glasses,question
consumable parts for my TENS,"Stimulator, supplies",partial_turn2
"STANDARD insoles not custom made, bought them off the shelf at shoppers",Standard foot orthotics or shoe inserts,natural_diverse
CA-125 test,CA-125 (Cancer Antigen) Test,vague_turn1
they strapped a BP cuff on me that took readings all day and night for 24 hours,Ambulatory Blood Pressure Test,confused_student
"prefabricated orthotics from the pharmacy, doctor recommended them",Standard foot orthotics or shoe inserts,natural_diverse
dietitian,Dietitian Services,vague_turn1
"had to get measured at the orthotics place, they made my stockings to fit","Compression Stockings, custom, any length",natural_diverse
claiming aerochamber for my asthmatic daughter,Aerochamber,natural_diverse
finger prick needles | lancets | for my glucose testing,Lancet,progressive
I turned 50 and my family doctor said it's time for a colonoscopy to screen for colon cancer,Colonoscopy,storyteller
IV pole stand purchase,IV Stand (purchase),terse
wheeled commode chair purchase,Wheeled Commode (purchase),natural_diverse
lancets blood glucose testing,Lancet,natural_diverse
bath seat,Bath Bench/Chair (purchase),vague_turn1
I got metal braces on my teeth and pay a monthly fee to the orthodontist,Orthodontic Services (Braces - initial and monthly fee),confused_student
insulin device,Insulin Gun (manual),vague_turn1
breast imaging,Mammogram,vague_turn1
table top vaporizer steam,Vaporizer (table top),natural_diverse
special bra | after my mastectomy | medical purpose,Mastectomy bra,progressive
need to claim the blood draw fee from LifeLabs for my spouse's recent blood work,Blood Withdrawal Fee,parent_or_dependent
warm mist vaporizer,Vaporizer (table top),partial_turn2
"got fitted with an insulin pump, it's attached to me, how to claim",Insulin infusion pump,natural_diverse
diagnostic test,Other laboratory and diagnostic tests,vague_turn1
prescription,Drug,vague_turn1
full leg medical stockings,"Compression Stockings, thigh/full (30 mmhg & over)",vague_turn1
"medtronic continuous glucose monitor transmitter replacement, the part that clips onto the sensor",Glucose Monitoring System Transmitter,natural_diverse
need to claim CGM sensor supplies for my daughter's type 1 diabetes management,Glucose Monitoring System Supplies/Sensors,parent_or_dependent
pre-auth medical estimate,Estimate/Pre-Authorization,terse
"leg socks | the light kind, not tight at all | just for travel","Compression Stockings, any length (up to 14 mmhg)",progressive
