text,label,style
"the with the arm cuff, not underarm",Forearm Crutch (purchase),partial_turn2_aug
"the kind with the not cuff, arm underarm",Forearm Crutch (purchase),partial_turn2_aug
"the kind with the arm like cuff, not underarm",Forearm Crutch (purchase),partial_turn2_aug
"I submitted under 'Stimulator muscle/nerve TENS' but I only bought replacement pads, not the machine","Stimulator, supplies",wrong_guess
"I submitted under muscle/nerve TENS' but I only bought replacement pads, not the machine","Stimulator, supplies",wrong_guess_aug
"I pads, under 'Stimulator muscle/nerve TENS' but I only bought replacement submitted not the machine","Stimulator, supplies",wrong_guess_aug
"I just submitted under 'Stimulator muscle/nerve TENS' but I only bought replacement pads, not the machine","Stimulator, supplies",wrong_guess_aug
gene testing | for my family history | BRCA type screening,Screening (for DNA/Genetic purposes),progressive
gene testing | my family history | BRCA type screening,Screening (for DNA/Genetic purposes),progressive_aug
gene my | for testing family history | BRCA type screening,Screening (for DNA/Genetic purposes),progressive_aug
gene testing | actually for my family history | BRCA type screening,Screening (for DNA/Genetic purposes),progressive_aug
made from impression of my ear,Ear Plugs (custom made),partial_turn2
from impression of my ear,Ear Plugs (custom made),partial_turn2_aug
made from of impression my ear,Ear Plugs (custom made),partial_turn2_aug
made from impression just of my ear,Ear Plugs (custom made),partial_turn2_aug
Where do I submit a claim for a custom-made AFO or KAFO brace?,"Brace, AFO/KAFO (Custom)",question
Where do I submit a for a custom-made AFO or KAFO brace?,"Brace, AFO/KAFO (Custom)",question_aug
Where do claim submit a I for a custom-made AFO or KAFO brace?,"Brace, AFO/KAFO (Custom)",question_aug
Where do I submit a I think claim for a custom-made AFO or KAFO brace?,"Brace, AFO/KAFO (Custom)",question_aug
had a deep tissue massage at Massage Addict clinic on Merivale Road,Massage,brand_specific
had a deep tissue massage at Massage Addict clinic on Road,Massage,brand_specific_aug
had a deep tissue Merivale at Massage Addict clinic on massage Road,Massage,brand_specific_aug
had a deep tissue massage at Massage Addict clinic on basically Merivale Road,Massage,brand_specific_aug
bought Moen Home Care SecureMount grab bars from Home Depot,Grab Bar/Bath Bar - permanent fixtures (purchase),brand_specific
bought Moen Home Care SecureMount grab bars from Home,Grab Bar/Bath Bar - permanent fixtures (purchase),brand_specific_aug
bought Moen Home Care SecureMount grab bars from Home Depot,Grab Bar/Bath Bar - permanent fixtures (purchase),brand_specific_aug
bought Moen Home I think Care SecureMount grab bars from Home Depot,Grab Bar/Bath Bar - permanent fixtures (purchase),brand_specific_aug
device I blow into to check my lungs,Peak Flow Meter,partial_turn2
device I blow into to check my,Peak Flow Meter,partial_turn2_aug
device I my into to check blow lungs,Peak Flow Meter,partial_turn2_aug
device I blow into to check my lungs I think,Peak Flow Meter,partial_turn2_aug
"I keep mixing up sensors and transmitters, these are the SENSORS that you stick on and replace every 10 days",Glucose Monitoring System Supplies/Sensors,complaint
"I keep mixing up sensors and transmitters, these are the that you stick on and replace every 10 days",Glucose Monitoring System Supplies/Sensors,complaint_aug
"I these mixing up sensors and transmitters, keep are the SENSORS that you stick on and replace every 10 days",Glucose Monitoring System Supplies/Sensors,complaint_aug
"I actually keep mixing up sensors and transmitters, these are the SENSORS that you stick on and replace every 10 days",Glucose Monitoring System Supplies/Sensors,complaint_aug
work glasses | safety frames | my prescription inside,Safety Glasses,progressive
work glasses | safety frames my prescription inside,Safety Glasses,progressive_aug
work glasses | safety my | frames prescription inside,Safety Glasses,progressive_aug
work I think glasses | safety frames | my prescription inside,Safety Glasses,progressive_aug
Claiming custom-fitted bilateral thigh-length compression garments rated 30-40 mmHg for stage III chronic lymphedema,"Compression Stockings, thigh/full (30 mmhg & over)",detailed_clinical
Claiming custom-fitted bilateral thigh-length compression garments rated 30-40 mmHg stage III chronic lymphedema,"Compression Stockings, thigh/full (30 mmhg & over)",detailed_clinical_aug
Claiming custom-fitted bilateral thigh-length compression III rated 30-40 mmHg for stage garments chronic lymphedema,"Compression Stockings, thigh/full (30 mmhg & over)",detailed_clinical_aug
Claiming custom-fitted bilateral just thigh-length compression garments rated 30-40 mmHg for stage III chronic lymphedema,"Compression Stockings, thigh/full (30 mmhg & over)",detailed_clinical_aug
claiming an ultrasound my wife had done privately because the wait was too long,Ultrasound,parent_or_dependent
claiming an ultrasound my wife had done because the wait was too long,Ultrasound,parent_or_dependent_aug
claiming an ultrasound my wife had wait privately because the done was too long,Ultrasound,parent_or_dependent_aug
claiming an ultrasound my wife had done I think privately because the wait was too long,Ultrasound,parent_or_dependent_aug
my dad needs a rolling commode so the PSW can move him to the bathroom easier,Wheeled Commode (purchase),parent_or_dependent
my dad needs a rolling commode so the can move him to the bathroom easier,Wheeled Commode (purchase),parent_or_dependent_aug
my dad needs rolling a commode so the PSW can move him to the bathroom easier,Wheeled Commode (purchase),parent_or_dependent_aug
my dad needs a rolling commode so the just PSW can move him to the bathroom easier,Wheeled Commode (purchase),parent_or_dependent_aug
the plastic chamber for my puffer,Aerochamber,partial_turn2
the plastic chamber for puffer,Aerochamber,partial_turn2_aug
the plastic chamber my for puffer,Aerochamber,partial_turn2_aug
the plastic chamber so for my puffer,Aerochamber,partial_turn2_aug
cold pack | freezer type | reusable for my injury,Cold Therapy - Re-usable Items (purchase),progressive
cold pack | type | reusable for my injury,Cold Therapy - Re-usable Items (purchase),progressive_aug
cold pack my freezer type | reusable for | injury,Cold Therapy - Re-usable Items (purchase),progressive_aug
cold pack | freezer type | reusable basically for my injury,Cold Therapy - Re-usable Items (purchase),progressive_aug
purchased a case of Tena Intimates overnight pads from Well.ca,Incontinence Supplies,brand_specific
a case of Tena Intimates overnight pads from Well.ca,Incontinence Supplies,brand_specific_aug
purchased case a of Tena Intimates overnight pads from Well.ca,Incontinence Supplies,brand_specific_aug
purchased a case of Tena Intimates overnight pads from Well.ca I think,Incontinence Supplies,brand_specific_aug
eyewear | corrective not sunglasses | from the optician,Prescription Glasses,progressive
eyewear | corrective not sunglasses | the optician,Prescription Glasses,progressive_aug
eyewear from corrective not sunglasses | | the optician,Prescription Glasses,progressive_aug
eyewear | corrective not sunglasses | like from the optician,Prescription Glasses,progressive_aug
My TENS electrode pads lost their stickiness after a month of use so I ordered a bulk pack of replacements,"Stimulator, supplies",storyteller
My TENS electrode pads lost their stickiness after a month of use so I a bulk pack of replacements,"Stimulator, supplies",storyteller_aug
My TENS electrode pads lost their stickiness after bulk month of use so I ordered a a pack of replacements,"Stimulator, supplies",storyteller_aug
My TENS electrode pads lost their stickiness after a month of use so I ordered a bulk actually pack of replacements,"Stimulator, supplies",storyteller_aug
emergency transport | 911 ambulance fee | cardiac event,Ambulance,progressive
transport | 911 ambulance fee | cardiac event,Ambulance,progressive_aug
emergency ambulance | 911 transport fee | cardiac event,Ambulance,progressive_aug
emergency transport | 911 ambulance basically fee | cardiac event,Ambulance,progressive_aug
I lost my hair from chemo and bought a wig to wear,Wig,confused_student
I lost my hair chemo and bought a wig to wear,Wig,confused_student_aug
I lost and hair from chemo my bought a wig to wear,Wig,confused_student_aug
I lost my hair from chemo and basically bought a wig to wear,Wig,confused_student_aug
polysomnography sleep test,Sleep Study,partial_turn2
polysomnography sleep like test,Sleep Study,partial_turn2_aug
incontinence supplies | adult briefs | for my father's bladder condition,Incontinence Supplies,progressive
incontinence supplies adult briefs | for my father's bladder condition,Incontinence Supplies,progressive_aug
incontinence father's | adult briefs | for my supplies bladder condition,Incontinence Supplies,progressive_aug
incontinence supplies | adult briefs | for my father's bladder so condition,Incontinence Supplies,progressive_aug
I got a cane that has four little feet at the bottom instead of just one point,Quad Cane (purchase),confused_student
I got a cane that has four little feet at the bottom instead of just one,Quad Cane (purchase),confused_student_aug
I got a cane four has that little feet at the bottom instead of just one point,Quad Cane (purchase),confused_student_aug
I got a cane that has four little feet at the actually bottom instead of just one point,Quad Cane (purchase),confused_student_aug
bought a pair of underarm crutches for my son after his ankle fracture,"Crutches, pair",parent_or_dependent
bought a of underarm crutches for my son after his ankle fracture,"Crutches, pair",parent_or_dependent_aug
bought a pair of underarm crutches for my fracture after his ankle son,"Crutches, pair",parent_or_dependent_aug
like bought a pair of underarm crutches for my son after his ankle fracture,"Crutches, pair",parent_or_dependent_aug
bought an automatic insulin gun for my son because he's scared of injecting himself,Insulin Gun (automatic),parent_or_dependent
bought an automatic insulin gun my son because he's scared of injecting himself,Insulin Gun (automatic),parent_or_dependent_aug
son an automatic insulin gun for my bought because he's scared of injecting himself,Insulin Gun (automatic),parent_or_dependent_aug
bought so an automatic insulin gun for my son because he's scared of injecting himself,Insulin Gun (automatic),parent_or_dependent_aug
"I bought a pump for breastfeeding, the electric kind",Breast Pump (purchase),confused_student
"I bought a pump breastfeeding, the electric kind",Breast Pump (purchase),confused_student_aug
"pump bought a I for breastfeeding, the electric kind",Breast Pump (purchase),confused_student_aug
"I bought a like pump for breastfeeding, the electric kind",Breast Pump (purchase),confused_student_aug
Which category for an IV pole I bought for home infusion therapy?,IV Stand (purchase),question
Which for an IV pole I bought for home infusion therapy?,IV Stand (purchase),question_aug
Which bought for an IV pole I category for home infusion therapy?,IV Stand (purchase),question_aug
Which actually category for an IV pole I bought for home infusion therapy?,IV Stand (purchase),question_aug
drip pole | bought for home | for my home IV treatments,IV Stand (purchase),progressive
drip pole | bought for home | for home IV treatments,IV Stand (purchase),progressive_aug
drip pole treatments bought for home | for my home IV |,IV Stand (purchase),progressive_aug
drip pole | bought for home | for my home um IV treatments,IV Stand (purchase),progressive_aug
mom lives at the care home monthly fees,Nursing Home and Long Term Care,partial_turn2
mom lives the care home monthly fees,Nursing Home and Long Term Care,partial_turn2_aug
mom lives at the fees home monthly care,Nursing Home and Long Term Care,partial_turn2_aug
mom lives at the care home I think monthly fees,Nursing Home and Long Term Care,partial_turn2_aug
"not off the shelf, custom for my left knee","Brace, left knee (Custom)",partial_turn2
"not off the shelf, custom for my left","Brace, left knee (Custom)",partial_turn2_aug
"not off the custom shelf, for my left knee","Brace, left knee (Custom)",partial_turn2_aug
"not off the shelf, custom for just my left knee","Brace, left knee (Custom)",partial_turn2_aug
massage,Massage,vague_turn1
massage um,Massage,vague_turn1_aug
medical ID bracelet subscription,Medic Alert Bracelet,partial_turn2
subscription ID bracelet medical,Medic Alert Bracelet,partial_turn2_aug
medical I think ID bracelet subscription,Medic Alert Bracelet,partial_turn2_aug
injection in my heel,Podiatry Treatment,partial_turn2
in injection my heel,Podiatry Treatment,partial_turn2_aug
like injection in my heel,Podiatry Treatment,partial_turn2_aug
the rails for the bed,Bed Rails (purchase),vague_turn1
the rails for the,Bed Rails (purchase),vague_turn1_aug
the bed for the rails,Bed Rails (purchase),vague_turn1_aug
basically the rails for the bed,Bed Rails (purchase),vague_turn1_aug
"knee length, quite tight","Compression Stockings, knee length (20-29 mmhg)",partial_turn2
"tight length, quite knee","Compression Stockings, knee length (20-29 mmhg)",partial_turn2_aug
"basically knee length, quite tight","Compression Stockings, knee length (20-29 mmhg)",partial_turn2_aug
goes up to my knee,"Compression Stockings, knee length (15-19 mmhg)",partial_turn2
goes up my knee,"Compression Stockings, knee length (15-19 mmhg)",partial_turn2_aug
up goes to my knee,"Compression Stockings, knee length (15-19 mmhg)",partial_turn2_aug
goes up just to my knee,"Compression Stockings, knee length (15-19 mmhg)",partial_turn2_aug
"ordering prescription contacts for my teenage son, his optometrist fitted him for them",Prescription Contacts,parent_or_dependent
"ordering prescription contacts for my teenage son, optometrist fitted him for them",Prescription Contacts,parent_or_dependent_aug
"ordering prescription contacts optometrist my teenage son, his for fitted him for them",Prescription Contacts,parent_or_dependent_aug
"ordering prescription just contacts for my teenage son, his optometrist fitted him for them",Prescription Contacts,parent_or_dependent_aug
"not off the shelf, fitted specifically for me","Compression Stockings, custom, any length",partial_turn2
"not off the shelf, fitted specifically for","Compression Stockings, custom, any length",partial_turn2_aug
"not off the for fitted specifically shelf, me","Compression Stockings, custom, any length",partial_turn2_aug
"not off the shelf, fitted specifically for actually me","Compression Stockings, custom, any length",partial_turn2_aug
diabetes supplies | sensor patches | replace them every 10 days,Glucose Monitoring System Supplies/Sensors,progressive
diabetes supplies | sensor patches | them every 10 days,Glucose Monitoring System Supplies/Sensors,progressive_aug
diabetes sensor | supplies patches | replace them every 10 days,Glucose Monitoring System Supplies/Sensors,progressive_aug
diabetes just supplies | sensor patches | replace them every 10 days,Glucose Monitoring System Supplies/Sensors,progressive_aug
I bought a commode chair that has wheels so you can roll it around,Wheeled Commode (purchase),confused_student
I bought a commode chair that wheels so you can roll it around,Wheeled Commode (purchase),confused_student_aug
I bought a commode chair has that wheels so you can roll it around,Wheeled Commode (purchase),confused_student_aug
I bought a commode chair that um has wheels so you can roll it around,Wheeled Commode (purchase),confused_student_aug
milk pump for my baby,Breast Pump (purchase),partial_turn2
pump for my baby,Breast Pump (purchase),partial_turn2_aug
baby pump for my milk,Breast Pump (purchase),partial_turn2_aug
milk pump for just my baby,Breast Pump (purchase),partial_turn2_aug
Which category for a peak flow meter to monitor my asthma?,Peak Flow Meter,question
Which category for a peak meter to monitor my asthma?,Peak Flow Meter,question_aug
Which a for category peak flow meter to monitor my asthma?,Peak Flow Meter,question_aug
Which category for I think a peak flow meter to monitor my asthma?,Peak Flow Meter,question_aug
bath safety seat,Bath Bench/Chair (purchase),partial_turn2
bath safety seat I think,Bath Bench/Chair (purchase),partial_turn2_aug
skin allergy test,Scratch Test for Allergies,vague_turn1
skin allergy test I think,Scratch Test for Allergies,vague_turn1_aug
I slept overnight at a clinic wired up to machines that monitored my breathing and stuff,Sleep Study,confused_student
I slept overnight at a clinic wired up machines that monitored my breathing and stuff,Sleep Study,confused_student_aug
I slept overnight and a clinic wired up to machines that monitored my breathing at stuff,Sleep Study,confused_student_aug
I slept um overnight at a clinic wired up to machines that monitored my breathing and stuff,Sleep Study,confused_student_aug
emergency ambulance fee,Ambulance,partial_turn2
basically emergency ambulance fee,Ambulance,partial_turn2_aug
"there's left knee and right knee custom options which is weirdly specific, anyway mine is the left one","Brace, left knee (Custom)",complaint
"there's left knee and right knee custom options which is weirdly specific, anyway mine is the left","Brace, left knee (Custom)",complaint_aug
"knee left there's and right knee custom options which is weirdly specific, anyway mine is the left one","Brace, left knee (Custom)",complaint_aug
"there's left knee and right knee custom I think options which is weirdly specific, anyway mine is the left one","Brace, left knee (Custom)",complaint_aug
"my asthma doctor say I should check breathing at home, I buy the tube I blow in",Peak Flow Meter,esl_speaker
"my asthma doctor say I should check breathing at home, I buy the I blow in",Peak Flow Meter,esl_speaker_aug
"my asthma doctor say I should check breathing at home, I buy the tube I in blow",Peak Flow Meter,esl_speaker_aug
"my asthma doctor say I should actually check breathing at home, I buy the tube I blow in",Peak Flow Meter,esl_speaker_aug
compression socks under 14mmhg,"Compression Stockings, any length (up to 14 mmhg)",terse
14mmhg socks under compression,"Compression Stockings, any length (up to 14 mmhg)",terse_aug
compression um socks under 14mmhg,"Compression Stockings, any length (up to 14 mmhg)",terse_aug
heat pack | reusable | for my arthritis pain,Heat Therapy - Re-usable items (purchase),progressive
pack | reusable | for my arthritis pain,Heat Therapy - Re-usable items (purchase),progressive_aug
heat pack | reusable my for | arthritis pain,Heat Therapy - Re-usable items (purchase),progressive_aug
heat pack | reusable | for my so arthritis pain,Heat Therapy - Re-usable items (purchase),progressive_aug
other foot service,Other foot care services (i.e. orthopedic shoe modification),vague_turn1
other foot service just,Other foot care services (i.e. orthopedic shoe modification),vague_turn1_aug
"Submitting for a four-wheeled rollator with hand brakes, padded seat, and storage basket for ambulatory mobility assistance",Walker - with wheels (purchase),detailed_clinical
"Submitting for a four-wheeled rollator with hand brakes, padded seat, and storage basket for ambulatory assistance",Walker - with wheels (purchase),detailed_clinical_aug
"Submitting for a four-wheeled hand with rollator brakes, padded seat, and storage basket for ambulatory mobility assistance",Walker - with wheels (purchase),detailed_clinical_aug
"Submitting for a four-wheeled rollator with hand brakes, padded I think seat, and storage basket for ambulatory mobility assistance",Walker - with wheels (purchase),detailed_clinical_aug
therapy | registered psychotherapist | RP credentials,Psychotherapist,progressive
| registered psychotherapist | RP credentials,Psychotherapist,progressive_aug
therapy | registered psychotherapist RP | credentials,Psychotherapist,progressive_aug
just therapy | registered psychotherapist | RP credentials,Psychotherapist,progressive_aug
"Which category for a forearm crutch with an arm cuff, not the standard underarm kind?",Forearm Crutch (purchase),question
"Which category for a forearm with an arm cuff, not the standard underarm kind?",Forearm Crutch (purchase),question_aug
"kind? category for a forearm crutch with an arm cuff, not the standard underarm Which",Forearm Crutch (purchase),question_aug
"Which category for a forearm crutch with an arm cuff, not the standard underarm kind? like",Forearm Crutch (purchase),question_aug
my daughter fell off the monkey bars so we went for an x-ray to check if anything is broken,X-Ray,parent_or_dependent
my daughter fell off the monkey bars so we went for an x-ray to check if is broken,X-Ray,parent_or_dependent_aug
my monkey fell off the daughter bars so we went for an x-ray to check if anything is broken,X-Ray,parent_or_dependent_aug
my daughter fell off the monkey bars so we went for an x-ray to check if basically anything is broken,X-Ray,parent_or_dependent_aug
"replacing my child's CGM transmitter unit, it's the piece that sends data to the receiver",Glucose Monitoring System Transmitter,parent_or_dependent
"replacing my child's CGM transmitter unit, it's the piece that sends data to receiver",Glucose Monitoring System Transmitter,parent_or_dependent_aug
"replacing child's my CGM transmitter unit, it's the piece that sends data to the receiver",Glucose Monitoring System Transmitter,parent_or_dependent_aug
"replacing my just child's CGM transmitter unit, it's the piece that sends data to the receiver",Glucose Monitoring System Transmitter,parent_or_dependent_aug
"I wear contact lenses instead of glasses, they're prescription",Prescription Contacts,confused_student
"I wear contact instead of glasses, they're prescription",Prescription Contacts,confused_student_aug
"I glasses, contact lenses instead of wear they're prescription",Prescription Contacts,confused_student_aug
"I wear contact lenses instead of glasses, they're prescription I think",Prescription Contacts,confused_student_aug
accessories not the main device,"CPAP, APAP, BIPAP Supplies",partial_turn2
accessories not the main,"CPAP, APAP, BIPAP Supplies",partial_turn2_aug
device not the main accessories,"CPAP, APAP, BIPAP Supplies",partial_turn2_aug
accessories not the main basically device,"CPAP, APAP, BIPAP Supplies",partial_turn2_aug
I use a CGM sensor on my arm but instead of using my phone I bought the dedicated handheld receiver to see my glucose readings,Glucose Monitoring System Receiver,storyteller
I use a CGM sensor on my arm but instead of using my I bought the dedicated handheld receiver to see my glucose readings,Glucose Monitoring System Receiver,storyteller_aug
I use a CGM sensor on my arm but instead of using my phone I bought the dedicated see receiver to handheld my glucose readings,Glucose Monitoring System Receiver,storyteller_aug
I use a CGM sensor on my arm but instead of using my phone I bought the dedicated like handheld receiver to see my glucose readings,Glucose Monitoring System Receiver,storyteller_aug
hair piece,Wig,vague_turn1
hair so piece,Wig,vague_turn1_aug
SLP not just consultation,Speech Therapy,partial_turn2
SLP just not consultation,Speech Therapy,partial_turn2_aug
SLP not I think just consultation,Speech Therapy,partial_turn2_aug
the pump | delivers insulin continuously | not the pen or gun,Insulin infusion pump,progressive
the pump | delivers continuously | not the pen or gun,Insulin infusion pump,progressive_aug
the pump | delivers insulin continuously | not the pen or gun,Insulin infusion pump,progressive_aug
the pump | delivers insulin continuously | not the pen just or gun,Insulin infusion pump,progressive_aug
"make sure I'm in the right spot this time - it's a walker WITH wheels, the rolling kind",Walker - with wheels (purchase),complaint
"make sure I'm in the right spot this time it's a walker WITH wheels, the rolling kind",Walker - with wheels (purchase),complaint_aug
"make sure I'm in the right spot this time - wheels, a walker WITH it's the rolling kind",Walker - with wheels (purchase),complaint_aug
"make sure basically I'm in the right spot this time - it's a walker WITH wheels, the rolling kind",Walker - with wheels (purchase),complaint_aug
diagnostic eye | scanned my retina | beyond normal checkup,Diagnostic Vision Test,progressive
diagnostic eye | scanned my retina | normal checkup,Diagnostic Vision Test,progressive_aug
diagnostic checkup | scanned my retina | beyond normal eye,Diagnostic Vision Test,progressive_aug
diagnostic like eye | scanned my retina | beyond normal checkup,Diagnostic Vision Test,progressive_aug
"the main device, it blows air","CPAP, APAP, BIPAP Machine",partial_turn2
"the device, it blows air","CPAP, APAP, BIPAP Machine",partial_turn2_aug
"the main blows it device, air","CPAP, APAP, BIPAP Machine",partial_turn2_aug
"the so main device, it blows air","CPAP, APAP, BIPAP Machine",partial_turn2_aug
toilet frame | not a raised seat | the surrounding frame,Versa Frame (purchase),progressive
toilet | not a raised seat | the surrounding frame,Versa Frame (purchase),progressive_aug
toilet frame | raised a not seat | the surrounding frame,Versa Frame (purchase),progressive_aug
toilet frame | not I think a raised seat | the surrounding frame,Versa Frame (purchase),progressive_aug
"regular crutches, the normal kind under the arms, a PAIR - why is forearm crutch listed separately?","Crutches, pair",complaint
"regular crutches, the normal kind under the arms, a PAIR - why is forearm listed separately?","Crutches, pair",complaint_aug
"PAIR crutches, the normal kind under the arms, a regular - why is forearm crutch listed separately?","Crutches, pair",complaint_aug
"regular crutches, the normal kind under the arms, a PAIR - why is forearm crutch listed separately? so","Crutches, pair",complaint_aug
Where do I file for ostomy pouches and related supplies?,Ostomy,question
Where I file for ostomy pouches and related supplies?,Ostomy,question_aug
Where do for file I ostomy pouches and related supplies?,Ostomy,question_aug
Where basically do I file for ostomy pouches and related supplies?,Ostomy,question_aug
I bought a gel thing you freeze and put on your sore muscles,Cold Therapy - Re-usable Items (purchase),confused_student
I bought a gel thing you freeze and put on your muscles,Cold Therapy - Re-usable Items (purchase),confused_student_aug
I bought put gel thing you freeze and a on your sore muscles,Cold Therapy - Re-usable Items (purchase),confused_student_aug
I bought a gel so thing you freeze and put on your sore muscles,Cold Therapy - Re-usable Items (purchase),confused_student_aug
registered RP,Psychotherapist,partial_turn2
registered RP I think,Psychotherapist,partial_turn2_aug
glucose sensors,Glucose Monitoring System Supplies/Sensors,vague_turn1
glucose sensors so,Glucose Monitoring System Supplies/Sensors,vague_turn1_aug
How do I submit a pre-authorization request for an upcoming medical service?,Estimate/Pre-Authorization,question
How do I a pre-authorization request for an upcoming medical service?,Estimate/Pre-Authorization,question_aug
How do I submit a pre-authorization request for an upcoming service? medical,Estimate/Pre-Authorization,question_aug
How do I submit like a pre-authorization request for an upcoming medical service?,Estimate/Pre-Authorization,question_aug
clinical counsellor sessions,Clinical Counsellor,terse
clinical counsellor sessions so,Clinical Counsellor,terse_aug
dental appointment,Dental Services,vague_turn1
basically dental appointment,Dental Services,vague_turn1_aug
ordered Jobst Elvarex thigh-high 34-46 mmHg flat-knit from my lymphedema clinic,"Compression Stockings, thigh/full (30 mmhg & over)",brand_specific
ordered Jobst Elvarex thigh-high 34-46 mmHg flat-knit from my lymphedema,"Compression Stockings, thigh/full (30 mmhg & over)",brand_specific_aug
ordered Jobst Elvarex thigh-high flat-knit mmHg 34-46 from my lymphedema clinic,"Compression Stockings, thigh/full (30 mmhg & over)",brand_specific_aug
basically ordered Jobst Elvarex thigh-high 34-46 mmHg flat-knit from my lymphedema clinic,"Compression Stockings, thigh/full (30 mmhg & over)",brand_specific_aug
mild compression | doctor said the lightest level is fine,"Compression Stockings, any length (up to 14 mmhg)",progressive
mild compression | doctor said lightest level is fine,"Compression Stockings, any length (up to 14 mmhg)",progressive_aug
mild compression said doctor | the lightest level is fine,"Compression Stockings, any length (up to 14 mmhg)",progressive_aug
mild compression just | doctor said the lightest level is fine,"Compression Stockings, any length (up to 14 mmhg)",progressive_aug
"open toe, just the calf area","Compression Calf Sleeves/Tights (footless), any length",partial_turn2
"open toe, just calf area","Compression Calf Sleeves/Tights (footless), any length",partial_turn2_aug
"open toe, just calf the area","Compression Calf Sleeves/Tights (footless), any length",partial_turn2_aug
"open toe, just the basically calf area","Compression Calf Sleeves/Tights (footless), any length",partial_turn2_aug
"picked left knee by accident last time, it's actually my RIGHT knee custom brace, had to resubmit","Brace, right knee (Custom)",complaint
"picked left knee accident last time, it's actually my RIGHT knee custom brace, had to resubmit","Brace, right knee (Custom)",complaint_aug
"picked left accident by knee last time, it's actually my RIGHT knee custom brace, had to resubmit","Brace, right knee (Custom)",complaint_aug
"picked left knee by accident last time, it's actually my RIGHT knee custom brace, had to resubmit basically","Brace, right knee (Custom)",complaint_aug
I bought one of those bottle things for going to the bathroom when you're stuck in bed,Urinal (purchase),confused_student
I bought one of those bottle things for going to the when you're stuck in bed,Urinal (purchase),confused_student_aug
I bought one of you're bottle things for going to the bathroom when those stuck in bed,Urinal (purchase),confused_student_aug
I bought one of basically those bottle things for going to the bathroom when you're stuck in bed,Urinal (purchase),confused_student_aug
24hr blood pressure monitoring test,Ambulatory Blood Pressure Test,terse
24hr blood monitoring test,Ambulatory Blood Pressure Test,terse_aug
pressure blood 24hr monitoring test,Ambulatory Blood Pressure Test,terse_aug
