text,label,style
installed grab bars in the bathroom for my elderly mother's safety,Grab Bar/Bath Bar - permanent fixtures (purchase),parent_or_dependent
Claiming a subscription to a clinician-guided internet-delivered cognitive behavioural therapy program for generalized anxiety disorder,Digital Cognitive Behavioural Therapy,detailed_clinical
I bought a special bra that holds a prosthetic breast after my surgery,Mastectomy bra,confused_student
Claiming single-vision CR-39 lenses with anti-reflective coating and titanium frames fitted to prescription,Prescription Glasses,detailed_clinical
ordered Medtronic Quick-set infusion sets and reservoir refills from Diabetes Express,Insulin infusion pump supplies,brand_specific
misc medical item claim,Other medical items,terse
Filing a claim for a programmable subcutaneous insulin infusion pump system with basal-bolus delivery capability,Insulin infusion pump,detailed_clinical
claiming a custom right knee brace for my daughter's ligament injury from skiing,"Brace, right knee (Custom)",parent_or_dependent
Claiming podiatric medical treatment including biomechanical assessment and therapeutic intervention for plantar fasciitis,Podiatry Treatment,detailed_clinical
purchased a Drive Medical Deluxe folding walker from Medichair,Walker - non wheeled (purchase),brand_specific
purchased an Inject-Ease automatic insulin injection aid from Diabetes Express,Insulin Gun (automatic),brand_specific
"my child had a blood test to identify food allergies, submitting the lab receipt",Blood test for Allergies (IG test not eligible),parent_or_dependent
bought a Drive Medical padded bath bench from Home Health Depot,Bath Bench/Chair (purchase),brand_specific
"I need more of those sticky patches that read my sugar, they go on my arm",Glucose Monitoring System Supplies/Sensors,confused_student
Submitting for a diagnostic colonoscopy with polypectomy and biopsy for colorectal cancer screening,Colonoscopy,detailed_clinical
my doctor wants to get something pre-approved by insurance before the procedure,Estimate/Pre-Authorization,confused_student
got an Omron Platinum wireless blood pressure monitor from Costco,Blood pressure monitor,brand_specific
audiometry hearing test,Audiometric Exam,terse
What category do I use for replacement sensors for my continuous glucose monitor?,Glucose Monitoring System Supplies/Sensors,question
I got one of those bracelets that says what medical conditions I have in case of emergency,Medic Alert Bracelet,confused_student
"I buy small needle for prick finger, for check sugar in blood, many in box",Lancet,esl_speaker
contact lenses rx claim,Prescription Contacts,terse
buying a blood pressure monitor for my husband to track his hypertension at home,Blood pressure monitor,parent_or_dependent
kinesiologist reflexologist visit,Other health specialists,terse
"I go to foot doctor, she is chiropodist, she cut nail and treat hard skin on foot",Chiropody (Foot Care) Treatment,esl_speaker
I went to get a special brace built for my left knee specifically,"Brace, left knee (Custom)",confused_student
Where do I file dental work that was needed because of an accident?,Dental Accident,question
Which category for purchasing prescription eyeglasses?,Prescription Glasses,question
Which category for a visit with a naturopathic doctor?,Naturopathic Treatment,question
psychotherapist sessions RP,Psychotherapist,terse
got 3M Virtua CCS prescription safety glasses through SafeVision at the university,Safety Glasses,brand_specific
digital CBT app subscription,Digital Cognitive Behavioural Therapy,terse
urinal bottle bedside,Urinal (purchase),terse
"I picked 'CPAP Mask' but it's actually tubing and filters, not a mask","CPAP, APAP, BIPAP Supplies",wrong_guess
"these aren't regular stockings, they were literally custom made at a clinic, why is this so hard to find in the dropdown","Compression Stockings, custom, any length",complaint
my child sees an occupational therapist for fine motor skill development and sensory processing,Occupational Therapy,parent_or_dependent
buying incontinence supplies for my elderly father who has bladder control issues,Incontinence Supplies,parent_or_dependent
I had a breast x-ray screening done at the clinic,Mammogram,confused_student
pump infusion set supplies,Insulin infusion pump supplies,terse
Where do I submit speech therapy sessions?,Speech Therapy,question
Claiming custom-fabricated orthopaedic footwear constructed to accommodate bilateral pes planus with medial arch support modification,Orthopaedic or custom made shoes,detailed_clinical
I see a social worker for therapy and I'm pretty sure she only has a four-year degree,Social Worker (Bachelors),confused_student
bought a wheeled rollator walker for my grandfather to use for his daily walks,Walker - with wheels (purchase),parent_or_dependent
purchased a Drive Medical adjustable IV pole for my husband's home IV therapy,IV Stand (purchase),brand_specific
RMT massage session,Massage,terse
Filing a claim for bespoke compression hosiery fabricated from patient-specific measurements and cast impressions,"Compression Stockings, custom, any length",detailed_clinical
It had been two years since my last eye check so I booked a routine exam at the optometrist to update my prescription,Eye Exam,storyteller
bought a basic non-wheeled walker for my elderly mother after her hip replacement,Walker - non wheeled (purchase),parent_or_dependent
BSW social worker sessions,Social Worker (Bachelors),terse
"I not understand, this claim go through provincial plan? I am confused about which one",Provincial Replacement Plan,esl_speaker
I had that camera procedure where they check inside your colon,Colonoscopy,confused_student
"there are four glucose monitoring categories and I just need the reader screen, not the sensor or transmitter",Glucose Monitoring System Receiver,complaint
I put it under 'Compression Stockings any length up to 14' but these are actually 18 mmhg knee length,"Compression Stockings, knee length (15-19 mmhg)",wrong_guess
I had a blood clot in my calf last year and my doctor prescribed firm knee-high stockings at 25 mmhg to prevent it from happening again,"Compression Stockings, knee length (20-29 mmhg)",storyteller
"this is the PUMP not the gun or pen, it's worn on my body 24/7, the categories are confusing for diabetic supplies",Insulin infusion pump,complaint
MRI scan private clinic,MRI (Magnetic Resonance Imaging),terse
"my doctor prescribed marijuana for my chronic pain, the legal medical kind",Medical Cannabis,confused_student
Where do I claim a raised toilet seat I bought for post-surgery recovery?,Raised Toilet seat (purchase),question
chiropody foot care visit,Chiropody (Foot Care) Treatment,terse
buying a transport wheelchair for my mother so we can take her to appointments easily,Transport Wheelchair,parent_or_dependent
I bought those pads and underwear things for bladder leaks,Incontinence Supplies,confused_student
ordered Coloplast SenSura Mio ostomy bags from Byram Healthcare,Ostomy,brand_specific
I've been dealing with severe leg swelling for years and now I need the strongest thigh-high compression at 40 mmhg just to keep it manageable,"Compression Stockings, thigh/full (30 mmhg & over)",storyteller
"claiming replacement CPAP supplies for my spouse - new tubing, filters, and water chamber","CPAP, APAP, BIPAP Supplies",parent_or_dependent
homeopath consultation treatment,Homeopathic Treatment,terse
Claiming bilateral receiver-in-canal digital hearing instruments with adaptive directional microphone technology,Hearing Aids,detailed_clinical
"Where do I claim the actual CPAP machine, not the mask or accessories?","CPAP, APAP, BIPAP Machine",question
Claiming a gadolinium-enhanced MRI of the lumbar spine for intervertebral disc herniation evaluation,MRI (Magnetic Resonance Imaging),detailed_clinical
"What category for an insulin pen, not a pump or gun?",Insulin Pen Injector,question
What category for occupational therapy sessions?,Occupational Therapy,question
knee high 15-19 mmhg socks,"Compression Stockings, knee length (15-19 mmhg)",terse
I was diagnosed with pre-diabetes so my doctor referred me to a dietitian who created a meal plan for me,Dietitian Services,storyteller
taking my mother for her annual mammogram screening and need to claim it,Mammogram,parent_or_dependent
Claiming a quantitative serum PSA assay for prostate cancer screening,PSA Test (Prostate Specific Antigen),detailed_clinical
retinal scan diagnostic test,Diagnostic Vision Test,terse
my mother was taken by ambulance to the Civic Hospital and I'm helping her file the claim,Ambulance,parent_or_dependent
What category for an overnight sleep study test?,Sleep Study,question
My optometrist noticed something during my exam and ordered a retinal OCT scan and visual field test to check for early glaucoma,Diagnostic Vision Test,storyteller
signed up for MedicAlert Foundation and bought the stainless steel bracelet,Medic Alert Bracelet,brand_specific
"I got my wrist zapped at the clinic to see if it's broken, like a picture of the bones",X-Ray,confused_student
"there's knee and thigh options with different pressures, mine are thigh-high 20-29, this system needs better labels","Compression Stockings, thigh/full (20-29 mmhg)",complaint
dental cleaning filling claim,Dental Services,terse
Filing for an auto-titrating positive airway pressure device prescribed for moderate obstructive sleep apnea with AHI of 22,"CPAP, APAP, BIPAP Machine",detailed_clinical
"my provider is specifically a REGISTERED PSYCHOTHERAPIST, not a psychologist or counsellor, RP designation",Psychotherapist,complaint
"my father had colon surgery and now needs ostomy supplies, claiming the monthly order",Ostomy,parent_or_dependent
"my husband needed emergency medical services at the ski resort, not an ambulance ride",Other emergency services,parent_or_dependent
What category do I pick for treatment from a certified athletic therapist?,Athletic Therapy,question
"I see psychologist for my anxiety, she have PhD and do special test and therapy",Psychologist,esl_speaker
"these are NOT custom, just regular off-the-shelf shoe inserts, don't know why the categories make it so confusing",Standard foot orthotics or shoe inserts,complaint
IV pole stand purchase,IV Stand (purchase),terse
auto insulin gun,Insulin Gun (automatic),terse
Where do I submit claims for nursing home or long-term care facility costs?,Nursing Home and Long Term Care,question
got new prescription glasses with Essilor Varilux progressive lenses at Hakim Optical,Prescription Glasses,brand_specific
My chiropractor says my L4 is slightly rotated so I've been getting weekly adjustments to fix my alignment,Chiropractic,storyteller
"supplies means tubing, filters, water chambers right? NOT the mask or machine? just making sure","CPAP, APAP, BIPAP Supplies",complaint
I've been getting weekly acupuncture for my stress headaches and it's actually been helping a lot,Acupuncture,storyteller
I have drop foot from a nerve injury so my orthotist took a cast of my leg and made me a custom AFO that fits inside my shoe,"Brace, AFO/KAFO (Custom)",storyteller
"I filed under 'knee length 20-29' but mine are actually 35 mmhg, need to fix this","Compression Stockings, knee length (30 mmhg & over)",wrong_guess
"doctor give me paper for medical cannabis, I buy from special website, legal prescription",Medical Cannabis,esl_speaker
I was at a remote hiking site and needed emergency helicopter medical transport to hospital,Other emergency services,storyteller
I picked 'Other vision services' but I just bought regular prescription glasses,Prescription Glasses,wrong_guess
Claiming a multi-point traditional Chinese acupuncture session performed by a licensed R.Ac for myofascial pain syndrome,Acupuncture,detailed_clinical
I got a cane that has four little feet at the bottom instead of just one point,Quad Cane (purchase),confused_student
walking cane basic,"Cane, standard",terse
"I got these special insoles that were molded to my feet, they took a cast of my arches",Custom made foot orthotics,confused_student
Claiming a nasal pillow interface mask with adjustable headgear for PAP therapy,"CPAP, APAP, BIPAP Mask",detailed_clinical
"already submitted twice under the wrong stocking category, these are THIGH length OVER 30 mmhg, please just process my claim","Compression Stockings, thigh/full (30 mmhg & over)",complaint
I've had heel pain for months so I saw a podiatrist who diagnosed plantar fasciitis and did some manual therapy,Podiatry Treatment,storyteller
Where do I claim a vitamin D blood test?,Vitamin D Test,question
tabletop humidifier purchase,Humidifier (Table Top),terse
"I had to call 911 and they took me in an ambulance, how do I submit the bill?",Ambulance,confused_student
Where do I claim a tuberculosis skin test?,TB Test/Mantoux,question
I was having panic attacks so my GP referred me to a psychologist with a PhD who does exposure therapy,Psychologist,storyteller
"I got the strongest knee socks my doctor prescribed, they're really hard to put on, I think 30-40 pressure","Compression Stockings, knee length (30 mmhg & over)",confused_student
"I went to someone who checked my hearing and adjusted my hearing aids, she's an audiologist",Audiologist Services,confused_student
bathroom grab bars purchase,Grab Bar/Bath Bar - permanent fixtures (purchase),terse
"I buy new glass for see, doctor write prescription and I get glass made at store",Prescription Glasses,esl_speaker
dietitian nutrition counselling,Dietitian Services,terse
toilet versa frame safety,Versa Frame (purchase),terse
submitting a pre-authorization for my husband's upcoming MRI that needs prior approval,Estimate/Pre-Authorization,parent_or_dependent
"I have insulin gun but it is not automatic, I must push by myself with hand",Insulin Gun (manual),esl_speaker
claiming my mother's CA-125 cancer marker blood test from the oncology lab,CA-125 (Cancer Antigen) Test,parent_or_dependent
I was in the hospital for a few days and there's a bill for stuff OHIP didn't cover,Hospital (within your province),confused_student
they injected something in my forearm and I have to go back in two days for them to check it,TB Test/Mantoux,confused_student
quad cane 4-foot base,Quad Cane (purchase),terse
"I got a test to check my DNA for hereditary diseases, like BRCA genes",Screening (for DNA/Genetic purposes),confused_student
Filing for cognitive-behavioural therapy sessions with a registered psychologist licensed by the College of Psychologists of Ontario,Psychologist,detailed_clinical
reusable ice pack gel,Cold Therapy - Re-usable Items (purchase),terse
my wife had custom compression stockings fabricated after her surgery and I need to submit the receipt,"Compression Stockings, custom, any length",parent_or_dependent
"I switched from glasses to contacts because they're easier for sports, I got a year supply of dailies from my optometrist",Prescription Contacts,storyteller
"I filed under 'Psychologist' but my therapist is a registered psychotherapist, not a psychologist",Psychotherapist,wrong_guess
thigh high 15-19 mmhg stockings,"Compression Stockings, thigh/full (15-19 mmhg)",terse
booking massage therapy for my spouse's chronic shoulder tension,Massage,parent_or_dependent
cervical neck pillow rx,Cervical Pillow,terse
"I buy small machine that make air wet in my room, for my nose dry at night",Humidifier (Table Top),esl_speaker
vision therapy sessions claim,Other vision services (i.e. safety glasses),terse
TENS electrode pads refill,"Stimulator, supplies",terse
"I bought some light squeezy socks for flying, the pressure is really low like 10 or something","Compression Stockings, any length (up to 14 mmhg)",confused_student
bought Jobst UltraSheer 8-15 mmHg stockings from Well.ca,"Compression Stockings, any length (up to 14 mmhg)",brand_specific
Filing for orthoptic vision therapy sessions to treat binocular vision dysfunction and convergence insufficiency,Other vision services (i.e. safety glasses),detailed_clinical
"I have a bag attached to my stomach for waste after my surgery, I need supplies for it",Ostomy,confused_student
I chose 'Compression Stockings knee length 15-19' but mine are actually only 12 mmhg,"Compression Stockings, any length (up to 14 mmhg)",wrong_guess
Where do I claim a pair of standard underarm crutches?,"Crutches, pair",question
My son was having trouble reading because his eyes don't track together well so we started vision therapy sessions with an optometrist,Other vision services (i.e. safety glasses),storyteller
"I go to therapy with psychotherapist, she is RP, registered psychotherapist, for my depression",Psychotherapist,esl_speaker
"Submitting a receipt for a twelve-month supply of daily disposable silicone hydrogel toric contact lenses, prescription-fitted",Prescription Contacts,detailed_clinical
Submitting for thigh-length graduated compression hosiery rated 15-20 mmHg with silicone grip band,"Compression Stockings, thigh/full (15-19 mmhg)",detailed_clinical
"doctor say I need special shoe made for my foot, not regular shoe from store, custom shoe",Orthopaedic or custom made shoes,esl_speaker
Which category for a skin prick or scratch test for allergies?,Scratch Test for Allergies,question
Where do I file a claim for a walker that has wheels and a seat?,Walker - with wheels (purchase),question
Does it matter if my social worker has a bachelor's vs master's degree? Mine has a BSW,Social Worker (Bachelors),question
manual insulin gun device,Insulin Gun (manual),terse
Where do I claim compression garments that aren't stockings like compression gloves or arm sleeves?,Other garment brace services (i.e. compression gloves),question
Where do I claim the separate fee they charge just for drawing blood?,Blood Withdrawal Fee,question
my father's ophthalmologist ordered diagnostic vision tests for his macular degeneration monitoring,Diagnostic Vision Test,parent_or_dependent
picked up a pair of Guardian aluminum underarm crutches from Shoppers Home Health Care,"Crutches, pair",brand_specific
it's the tube thing you put between your mouth and the puffer so you breathe in the medicine better,Aerochamber,confused_student
purchased a NovoPen 6 reusable insulin pen injector from my pharmacy,Insulin Pen Injector,brand_specific
skin prick allergy test,Scratch Test for Allergies,terse
they put me in a soundproof room and played beeps to test my hearing,Audiometric Exam,confused_student
Submitting a claim for below-knee graduated compression stockings rated 15-19 mmHg for mild venous insufficiency,"Compression Stockings, knee length (15-19 mmhg)",detailed_clinical
lancets blood sugar testing,Lancet,terse
My physiotherapist noticed my arches collapsing and referred me to a pedorthist who scanned my feet and made custom orthotics,Custom made foot orthotics,storyteller
booked my wife's sessions with a dietitian through Revive Wellness for postpartum nutrition,Dietitian Services,parent_or_dependent
basic walker no wheels,Walker - non wheeled (purchase),terse
"I buy rail for bed side, to stop falling when sleep, for safety",Bed Rails (purchase),esl_speaker
Filing for a dedicated receiver unit for a continuous glucose monitoring system to display interstitial glucose readings,Glucose Monitoring System Receiver,detailed_clinical
I have a leg length discrepancy so my pedorthist added a heel lift to my left shoe and adjusted the sole,Other foot care services (i.e. orthopedic shoe modification),storyteller
bought standard arch support insoles for my son's running shoes from the pharmacy,Standard foot orthotics or shoe inserts,parent_or_dependent
"my doctor ordered an ultrasound to check a lump I found, I went to a private imaging clinic",Ultrasound,storyteller
"I filed under 'Diagnostic Vision Test' but it was just a regular eye exam, nothing special",Eye Exam,wrong_guess
had a full hearing evaluation with an audiologist at the Ottawa Audiology Clinic,Audiologist Services,brand_specific
Claiming a comprehensive pharmacogenomic panel and BRCA1/BRCA2 mutation screening,Screening (for DNA/Genetic purposes),detailed_clinical
"I go to podiatrist, foot doctor, he treat my foot pain and check how I walk",Podiatry Treatment,esl_speaker
Do I pick the 20-29 mmHg knee-length option for stockings rated at 25?,"Compression Stockings, knee length (20-29 mmhg)",question
My old CPAP mask was leaking air around the seal so I went to the sleep store and got a new full-face mask that fits better,"CPAP, APAP, BIPAP Mask",storyteller
bought a raised toilet seat for my father after his hip replacement surgery,Raised Toilet seat (purchase),parent_or_dependent
I submitted under 'CPAP Supplies' but it's the machine itself,"CPAP, APAP, BIPAP Machine",wrong_guess
purchased a Philips Personal Best peak flow meter from the pharmacy,Peak Flow Meter,brand_specific
chiropody and podiatry both treat feet so what's the difference? my receipt says chiropody treatment,Chiropody (Foot Care) Treatment,complaint
seeing a registered psychotherapist through Greenspace Mental Health for weekly sessions,Psychotherapist,brand_specific
my father was hospitalized in Ontario and we need to claim the non-OHIP covered charges,Hospital (within your province),parent_or_dependent
"my grandma is in a facility full-time now, how do I claim the care costs?",Nursing Home and Long Term Care,confused_student
"I go to pharmacy and buy medicine doctor give prescription for, the pill I take every day",Drug,esl_speaker
Submitting for a serum Cancer Antigen 125 quantitative assay for ovarian malignancy surveillance,CA-125 (Cancer Antigen) Test,detailed_clinical
"I bought a pump for breastfeeding, the electric kind",Breast Pump (purchase),confused_student
"I see a doctor who does therapy, not a medical doctor but has a PhD in psychology",Psychologist,confused_student
"my doctor write prescription for very strong knee sock, 30 mmhg or more, very hard to wear","Compression Stockings, knee length (30 mmhg & over)",esl_speaker
I have severe bunions and regular shoes don't fit so my podiatrist ordered custom orthopedic shoes built specifically for my feet,Orthopaedic or custom made shoes,storyteller
had custom orthotics made at Kintec using Paris Orthotics lab fabrication,Custom made foot orthotics,brand_specific
Submitting a receipt for prefabricated over-the-counter biomechanical arch support insoles for plantar fasciitis,Standard foot orthotics or shoe inserts,detailed_clinical
"I just need to claim the MASK, not the machine or supplies, there should be a clearer label for this","CPAP, APAP, BIPAP Mask",complaint
CPAP tubing filters,"CPAP, APAP, BIPAP Supplies",terse
purchased a Medline Guardian toilet safety frame from Medical Mart,Versa Frame (purchase),brand_specific
"I selected 'Custom made foot orthotics' but I got entire custom shoes, not just insoles",Orthopaedic or custom made shoes,wrong_guess
"I use alcohol pad before injection every day for diabetes, I buy many box",Alcohol swabs,esl_speaker
My feet were hurting after running so my physio said to try some good off-the-shelf insoles before going custom,Standard foot orthotics or shoe inserts,storyteller
"I buy walker that have wheel, you push and it roll, also has chair to sit",Walker - with wheels (purchase),esl_speaker
"What's the right category for CPAP accessories like tubing, filters, and humidifier tanks?","CPAP, APAP, BIPAP Supplies",question
Filing for the initial placement fee and monthly adjustment charges for fixed ceramic orthodontic brackets,Orthodontic Services (Braces - initial and monthly fee),detailed_clinical
buying a forearm crutch for my spouse who needs long-term mobility support,Forearm Crutch (purchase),parent_or_dependent
had OT sessions at Ottawa Hand Therapy Clinic for my carpal tunnel rehab,Occupational Therapy,brand_specific
claiming hearing aid batteries and cleaning service for my father's devices,Other hearing services,parent_or_dependent
Where do I file for appointments with a registered clinical counsellor?,Clinical Counsellor,question
purchased a FreeStyle Libre 2 reader device from the pharmacy,Glucose Monitoring System Receiver,brand_specific
"this is an ONLINE CBT program not an in-person therapist visit, none of the mental health practitioner categories fit",Digital Cognitive Behavioural Therapy,complaint
"I go for therapy but my therapist is not psychologist or social worker, she do different type, art therapy",Other mental health services,esl_speaker
reusable heat pack purchase,Heat Therapy - Re-usable items (purchase),terse
I run a lot and my calves swell up so I got these sleeves that go from ankle to knee but have no feet,"Compression Calf Sleeves/Tights (footless), any length",storyteller
"there's machine, mask, and supplies options - I'm claiming the ACTUAL MACHINE not the other parts","CPAP, APAP, BIPAP Machine",complaint
bought the CGM receiver for my teenage son so he can monitor his glucose at school,Glucose Monitoring System Receiver,parent_or_dependent
Claiming individual therapy sessions with a Canadian Certified Counsellor registered with the CCPA,Clinical Counsellor,detailed_clinical
rollator walker with wheels,Walker - with wheels (purchase),terse
got a TENS machine for my wife who has chronic neck pain from her desk job,"Stimulator, muscle/nerve (TENS)",parent_or_dependent
my daughter's podiatrist prescribed custom foot orthotics for her flat feet,Custom made foot orthotics,parent_or_dependent
"I picked 'Social Worker Bachelors' but she actually has an MSW, is there a difference in coverage?",Social Worker (Masters level),wrong_guess
How do I claim a bath bench I bought after my knee surgery?,Bath Bench/Chair (purchase),question
dental pre-determination estimate,Dental Estimate for Services,terse
Claiming a bilateral screening mammogram with computer-aided detection at a breast imaging centre,Mammogram,detailed_clinical
my son needs to claim his custom left knee brace after his hockey injury,"Brace, left knee (Custom)",parent_or_dependent
"is a glucometer the same as a glucose monitoring system? mine just does finger pricks, no sensors",Blood glucose meter,complaint
Claiming custom-fitted bilateral thigh-length compression garments rated 30-40 mmHg for stage III chronic lymphedema,"Compression Stockings, thigh/full (30 mmhg & over)",detailed_clinical
athletic therapy session,Athletic Therapy,terse
bedpan purchase,Bedpan,terse
"I purchase the sock with small compression, only 10 mmhg, for standing at work long time","Compression Stockings, any length (up to 14 mmhg)",esl_speaker
claiming my father's PSA test from his annual prostate screening,PSA Test (Prostate Specific Antigen),parent_or_dependent
"I need a new face thing for my breathing machine, just the part that goes on my face","CPAP, APAP, BIPAP Mask",confused_student
What category for an insulin pump that I wear on my body for continuous delivery?,Insulin infusion pump,question
purchased a ResMed AirSense 11 AutoSet CPAP from VitalAire,"CPAP, APAP, BIPAP Machine",brand_specific
"I need safety glass for work in laboratory, it have my prescription and protect eyes",Safety Glasses,esl_speaker
I found a great therapist through my school's referral list and she's a registered clinical counsellor specializing in student anxiety,Clinical Counsellor,storyteller
I bought a commode chair that has wheels so you can roll it around,Wheeled Commode (purchase),confused_student
Which category for bed rails I purchased for fall prevention?,Bed Rails (purchase),question
knee length 20-29 mmhg stockings,"Compression Stockings, knee length (20-29 mmhg)",terse
"my wife sees an osteopath for her chronic neck pain, claiming the appointments",Osteopath,parent_or_dependent
"I went for a rub-down at the massage place, a real registered therapist though",Massage,confused_student
bought a blood glucose meter for my diabetic father to use at home,Blood glucose meter,parent_or_dependent
Which category for a treatment session with a chiropodist for foot care?,Chiropody (Foot Care) Treatment,question
"the foot place made me actual shoes, not just insoles, they built the whole shoe",Orthopaedic or custom made shoes,confused_student
need to claim knee-high 18 mmhg compression stockings for my daughter's circulation issues,"Compression Stockings, knee length (15-19 mmhg)",parent_or_dependent
How do I submit a claim under the provincial replacement plan?,Provincial Replacement Plan,question
it's the screen thingy that shows my sugar levels from the sensor on my arm,Glucose Monitoring System Receiver,confused_student
"I buy pump for breast milk, electric type, for feeding baby",Breast Pump (purchase),esl_speaker
I got little devices that go in my ears to help me hear better,Hearing Aids,confused_student
"I buy insole from pharmacy for my shoe, it is not custom, just regular insole from shelf",Standard foot orthotics or shoe inserts,esl_speaker
those little wet pad things I use before I prick my finger for blood sugar,Alcohol swabs,confused_student
"brace is custom make for right knee only, orthotist take measurement of right leg","Brace, right knee (Custom)",esl_speaker
Where do I claim a blood glucose meter device purchase?,Blood glucose meter,question
Which category for hearing-related services that aren't exams or new hearing aids?,Other hearing services,question
Filing for replacement self-adhesive carbon film TENS electrodes and lead wire accessories,"Stimulator, supplies",detailed_clinical
Where do I submit a claim for a routine eye examination?,Eye Exam,question
purchased a Jon Renau human hair wig from Continental Hair in Toronto,Wig,brand_specific
vision therapy sessions at the Ottawa Vision Therapy Centre,Other vision services (i.e. safety glasses),brand_specific
24hr blood pressure monitoring test,Ambulatory Blood Pressure Test,terse
"Where do I claim a lab test that doesn't match allergy, vitamin D, PSA, or other specific categories?",Other laboratory and diagnostic tests,question
Which category for the wireless transmitter part of my glucose monitoring system?,Glucose Monitoring System Transmitter,question
I bought one of those pan things for using the bathroom in bed,Bedpan,confused_student
"I have treatment for eye that is not exam and not glass, it is exercise for eyes to work together",Other vision services (i.e. safety glasses),esl_speaker
"I accidentally submitted under knee-length last time but these go up to my thighs, 18 mmhg, please help","Compression Stockings, thigh/full (15-19 mmhg)",complaint
Where do I file for replacement electrode pads and wires for my TENS unit?,"Stimulator, supplies",question
"I need TB test for my school, they put small injection in arm and check after 2 day",TB Test/Mantoux,esl_speaker
alcohol prep pads diabetes,Alcohol swabs,terse
"I saw someone about my eating, she's a registered dietitian who makes meal plans",Dietitian Services,confused_student
Where do I file a claim for an x-ray?,X-Ray,question
purchased a Hugo Elite rollator walker from Costco,Walker - with wheels (purchase),brand_specific
I switched from multiple daily injections to an insulin pump that sticks to my stomach and delivers insulin all day based on my settings,Insulin infusion pump,storyteller
my doctor thinks my blood pressure spikes only at the clinic so she ordered a 24-hour portable monitor test,Ambulatory Blood Pressure Test,storyteller
Where do I file for ostomy pouches and related supplies?,Ostomy,question
lab test blood work other,Other laboratory and diagnostic tests,terse
Claiming bilateral below-knee medical-grade compression hosiery rated 30-40 mmHg for chronic venous insufficiency stage C4,"Compression Stockings, knee length (30 mmhg & over)",detailed_clinical
Where do I claim genetic screening for hereditary conditions?,Screening (for DNA/Genetic purposes),question
"these are SUPPLIES for my TENS machine, not the machine itself - just electrode pads and new lead wires","Stimulator, supplies",complaint
Submitting for a custom-fabricated right knee unloader brace for medial compartment osteoarthritis,"Brace, right knee (Custom)",detailed_clinical
"my eye doctor ordered some special test beyond the regular exam, something about checking the back of my eye",Diagnostic Vision Test,confused_student
my mother had a hip replacement and needs a home care worker to come help her bathe and get dressed,In Home Support Services,parent_or_dependent
Where do I submit my pharmacy receipt for a prescription drug?,Drug,question
I installed those metal bars in my bathroom so I can grab onto something in the shower,Grab Bar/Bath Bar - permanent fixtures (purchase),confused_student
Claiming a dual-channel transcutaneous electrical nerve stimulation unit with adjustable frequency and intensity,"Stimulator, muscle/nerve (TENS)",detailed_clinical
Which category for my social worker who has a master's degree?,Social Worker (Masters level),question
my daughter's co-op placement requires prescription safety glasses for the lab,Safety Glasses,parent_or_dependent
picked up Bauerfeind VenoTrain micro knee-high 15-20 mmHg from MedPro,"Compression Stockings, knee length (15-19 mmhg)",brand_specific
"got a microwave heat pack for my back pain, I use it every night after work",Heat Therapy - Re-usable items (purchase),storyteller
I've had ongoing right knee problems from an old meniscus tear so my surgeon sent me to get a custom brace made for my right side,"Brace, right knee (Custom)",storyteller
I selected 'Compression Stockings knee length 20-29' but these were actually custom-fabricated,"Compression Stockings, custom, any length",wrong_guess
