text,label
claiming foot care treatment at the chiropodist,Chiropody (Foot Care) Treatment
saw a chiropodist for nail trimming and corn treatment,Chiropody (Foot Care) Treatment
went to a foot care clinic for chiropody services,Chiropody (Foot Care) Treatment
I got custom orthotics made from a mold of my feet,Custom made foot orthotics
claiming custom foot orthotics prescribed by my podiatrist,Custom made foot orthotics
had custom insoles made at the orthotics clinic,Custom made foot orthotics
need to claim custom-made orthotic inserts,Custom made foot orthotics
got fitted for custom orthotics with a 3D scan,Custom made foot orthotics
purchased prescription custom foot orthotics,Custom made foot orthotics
claiming custom molded arch supports for my flat feet,Custom made foot orthotics
had custom orthotics fabricated from a plaster cast,Custom made foot orthotics
my podiatrist prescribed custom-made foot orthotics,Custom made foot orthotics
I bought off-the-shelf shoe inserts,Standard foot orthotics or shoe inserts
purchased standard insoles from the pharmacy,Standard foot orthotics or shoe inserts
claiming standard foot orthotics not custom made,Standard foot orthotics or shoe inserts
need to claim Dr. Scholl's shoe inserts,Standard foot orthotics or shoe inserts
got basic arch support insoles from shoppers,Standard foot orthotics or shoe inserts
bought standard shoe inserts for heel pain,Standard foot orthotics or shoe inserts
claiming non-custom foot orthotics from the store,Standard foot orthotics or shoe inserts
purchased over the counter insoles for plantar fasciitis,Standard foot orthotics or shoe inserts
bought standard arch supports not the custom kind,Standard foot orthotics or shoe inserts
I got custom orthopedic shoes made for my feet,Orthopaedic or custom made shoes
claiming prescription orthopedic shoes,Orthopaedic or custom made shoes
purchased custom-made shoes for my foot condition,Orthopaedic or custom made shoes
need to claim orthopaedic shoes fitted by a specialist,Orthopaedic or custom made shoes
got orthopedic shoes prescribed by my doctor,Orthopaedic or custom made shoes
bought custom diabetic shoes from the orthotist,Orthopaedic or custom made shoes
claiming orthopaedic footwear that was specially made,Orthopaedic or custom made shoes
had custom orthopedic shoes built for my condition,Orthopaedic or custom made shoes
purchased prescription orthopaedic shoes for flat feet,Orthopaedic or custom made shoes
I had my shoes modified with a heel lift,Other foot care services (i.e. orthopedic shoe modification)
claiming shoe modification for my orthopedic needs,Other foot care services (i.e. orthopedic shoe modification)
got my existing shoes altered with custom inserts and lifts,Other foot care services (i.e. orthopedic shoe modification)
need to claim orthopedic shoe repair and adjustment,Other foot care services (i.e. orthopedic shoe modification)
had a shoe lift added to my left shoe,Other foot care services (i.e. orthopedic shoe modification)
claiming shoe modification service from the orthotist,Other foot care services (i.e. orthopedic shoe modification)
got my work boots modified for my foot condition,Other foot care services (i.e. orthopedic shoe modification)
need to claim heel wedge modification on my shoes,Other foot care services (i.e. orthopedic shoe modification)
I went to the podiatrist for treatment,Podiatry Treatment
claiming a podiatry appointment for my foot pain,Podiatry Treatment
saw a podiatrist for my plantar fasciitis,Podiatry Treatment
need to claim podiatry treatment for bunions,Podiatry Treatment
visited the podiatrist for a foot exam and treatment,Podiatry Treatment
had a podiatry session for my heel spur,Podiatry Treatment
claiming treatment from my podiatrist,Podiatry Treatment
went to a podiatrist DPM for foot treatment,Podiatry Treatment
saw the podiatrist about my ankle and foot pain,Podiatry Treatment
I saw a clinical counsellor for therapy,Clinical Counsellor
claiming sessions with my registered clinical counsellor,Clinical Counsellor
visited a CCC certified clinical counsellor,Clinical Counsellor
need to claim my clinical counselling appointment,Clinical Counsellor
went to a clinical counsellor for anxiety,Clinical Counsellor
claiming counselling sessions with an RCC,Clinical Counsellor
saw a registered clinical counselor for mental health,Clinical Counsellor
my therapist is a clinical counsellor not a psychologist,Clinical Counsellor
claiming appointments with a canadian certified counsellor,Clinical Counsellor
I saw a psychologist for therapy sessions,Psychologist
claiming my appointment with a registered psychologist,Psychologist
visited a PhD psychologist for assessment,Psychologist
need to claim psychological services,Psychologist
went to a psychologist for cognitive behavioural therapy,Psychologist
claiming sessions with my psychologist who has a doctorate,Psychologist
saw a licensed psychologist for anxiety treatment,Psychologist
my therapist is a psychologist with a PhD,Psychologist
claiming psychological assessment and therapy,Psychologist
I saw a psychotherapist for therapy,Psychotherapist
claiming sessions with a registered psychotherapist,Psychotherapist
visited a psychotherapist for talk therapy,Psychotherapist
need to claim psychotherapy appointments,Psychotherapist
went to a psychotherapist for depression treatment,Psychotherapist
claiming psychotherapy sessions,Psychotherapist
saw a registered psychotherapist for couples counselling,Psychotherapist
my therapist is a licensed psychotherapist,Psychotherapist
claiming appointments with a registered psychotherapist RP,Psychotherapist
I saw a mental health professional but not sure which category,Other mental health services
claiming therapy with a practitioner who isn't a psychologist or social worker,Other mental health services
need to claim mental health services that don't fit other categories,Other mental health services
went to an art therapist for mental health,Other mental health services
claiming mental health counselling that doesn't fit the standard categories,Other mental health services
saw a mental health nurse for counselling sessions,Other mental health services
claiming services from a mental health practitioner,Other mental health services
got mental health support from a peer support specialist,Other mental health services
I used an online CBT program for my anxiety,Digital Cognitive Behavioural Therapy
claiming a digital cognitive behavioural therapy subscription,Digital Cognitive Behavioural Therapy
purchased access to an app-based CBT program,Digital Cognitive Behavioural Therapy
need to claim MindBeacon or similar digital CBT service,Digital Cognitive Behavioural Therapy
used a virtual CBT therapy platform,Digital Cognitive Behavioural Therapy
claiming online cognitive behavioral therapy program,Digital Cognitive Behavioural Therapy
signed up for a digital CBT app for depression,Digital Cognitive Behavioural Therapy
used an internet-based CBT course for insomnia,Digital Cognitive Behavioural Therapy
I went for my annual eye exam,Eye Exam
claiming a routine eye examination,Eye Exam
had my eyes checked at the optometrist,Eye Exam
need to claim my eye exam appointment,Eye Exam
went for a regular vision checkup,Eye Exam
claiming my yearly eye test at the optometrist,Eye Exam
had a comprehensive eye exam,Eye Exam
got my annual eye exam done,Eye Exam
claiming routine eye examination at the eye doctor,Eye Exam
I had a diagnostic vision test ordered by my eye doctor,Diagnostic Vision Test
claiming a visual field test for glaucoma screening,Diagnostic Vision Test
need to claim a retinal scan diagnostic test,Diagnostic Vision Test
had an OCT diagnostic eye test,Diagnostic Vision Test
claiming a diagnostic vision test for macular degeneration,Diagnostic Vision Test
got a specialized diagnostic eye test beyond a regular exam,Diagnostic Vision Test
had a corneal topography test done,Diagnostic Vision Test
claiming a diagnostic visual acuity test ordered by my ophthalmologist,Diagnostic Vision Test
I bought new prescription glasses,Prescription Glasses
claiming my new eyeglasses with lenses,Prescription Glasses
purchased prescription glasses and frames,Prescription Glasses
need to claim new glasses from the optician,Prescription Glasses
got new prescription lenses put in my frames,Prescription Glasses
claiming prescription eyewear glasses,Prescription Glasses
bought new specs with updated prescription,Prescription Glasses
purchased prescription glasses at lenscrafters,Prescription Glasses
need to submit my receipt for prescription glasses,Prescription Glasses
I bought prescription contact lenses,Prescription Contacts
claiming monthly contact lenses,Prescription Contacts
purchased a year supply of contacts,Prescription Contacts
need to claim my prescription contacts from the optometrist,Prescription Contacts
got daily disposable contact lenses,Prescription Contacts
claiming contact lens purchase,Prescription Contacts
bought acuvue prescription contacts,Prescription Contacts
purchased prescription contact lenses online,Prescription Contacts
claiming my box of monthly contact lenses,Prescription Contacts
I bought safety glasses for my lab work,Safety Glasses
claiming prescription safety glasses for work,Safety Glasses
purchased CSA approved safety eyewear,Safety Glasses
need to claim safety glasses for the workshop,Safety Glasses
got safety goggles with prescription lenses,Safety Glasses
claiming protective safety glasses,Safety Glasses
bought prescription safety glasses for the lab,Safety Glasses
purchased industrial safety eyewear,Safety Glasses
I need to claim a vision service that doesn't fit other categories,Other vision services (i.e. safety glasses)
claiming vision therapy sessions,Other vision services (i.e. safety glasses)
need to claim low vision aids,Other vision services (i.e. safety glasses)
got a glasses repair service,Other vision services (i.e. safety glasses)
claiming anti-fatigue lenses for computer work,Other vision services (i.e. safety glasses)
I went for an acupuncture session,Acupuncture
claiming acupuncture treatment for my back pain,Acupuncture
had needles done at the acupuncturist,Acupuncture
need to claim my acupuncture appointment,Acupuncture
went to a registered acupuncturist for treatment,Acupuncture
I bought an aerochamber spacer for my inhaler,Aerochamber
purchased an aerochamber for my asthma puffer,Aerochamber
need to claim an aerochamber device,Aerochamber
claiming a spacer aerochamber for my inhaler,Aerochamber
I bought alcohol swabs for my injections,Alcohol swabs
claiming alcohol wipes for insulin injection prep,Alcohol swabs
purchased a box of alcohol swabs from the pharmacy,Alcohol swabs
need to claim sterile alcohol swabs,Alcohol swabs
I need to claim an ambulance ride to the hospital,Ambulance
was taken by ambulance to the ER,Ambulance
claiming ambulance transport services,Ambulance
had to call an ambulance and need to submit the bill,Ambulance
need to claim the ambulance fee,Ambulance
I had a 24-hour blood pressure monitoring test,Ambulatory Blood Pressure Test
claiming an ambulatory blood pressure test,Ambulatory Blood Pressure Test
wore a blood pressure monitor for 24 hours as a test,Ambulatory Blood Pressure Test
need to claim ambulatory BP monitoring,Ambulatory Blood Pressure Test
I went to an athletic therapist for my sports injury,Athletic Therapy
claiming athletic therapy sessions,Athletic Therapy
saw an athletic therapist for my shoulder,Athletic Therapy
need to claim my athletic therapy appointment,Athletic Therapy
I saw an audiologist for a hearing assessment,Audiologist Services
claiming audiologist services for hearing evaluation,Audiologist Services
